technology_description,Number of Units,Capacity (kW),Capacity (MW),Avg Unit Capacity (MW),Generation (MWh),Max Generation (MWh),Capacity Factor (%),Avg Total OPEX per Plant ($)
Coal,101,77556170.0,77556.17,767.8828712871288,229265078.578,679392049.1999999,33.74562284736258,33888448.15841584
Natural Gas Fired CC,64,42601830.0,42601.83,665.65359375,189584695.005,373192030.8,50.800842289850955,15370010.125
Natural Gas Fired CT,126,34722310.0,34722.31,275.57388888888886,37254672.508,304167435.59999996,12.248080546331833,2301614.777777778
Nuclear,24,31871130.0,31871.13,1327.9637500000001,215702478.659,279191098.8,77.25979788973129,231306149.16666666
