plant_name_ferc1,plant_id_eia,technology_description,report_year,installation_year,capacity_mw_x,capacity_kw,capex_total,capex_per_kw,state,latitude,longitude
urquhart #4 peaking,3295.0,Natural Gas Fired CT,2009,1999.0,58.9,58900.0,23911132.0,405.96149405772496,SC,33.435,-81.9111
valencia,6515.0,Natural Gas Fired CT,2006,2006.0,61.0,61000.0,27128929.0,444.7365409836066,AZ,31.363472,-110.9313
virginia city,56808.0,Coal,2012,2012.0,820.0,820000.0,1768442268.0,2156.636912195122,VA,36.916389,-82.33806
walter scott #4,1082.0,Coal,2011,2007.0,550.0,550000.0,459618313.0,835.66966,IA,41.18,-95.8408
warren,55939.0,Natural Gas Fired CC,2014,2014.0,1384.0,1384000.0,994988101.0,718.9220382947977,VA,38.971667,-79.89145
washington county,7697.0,Natural Gas Fired CC,2004,1999.0,122.58,122580.0,52024625.0,424.4136482297275,AL,31.2504,-88.00267
wayne county,7538.0,Natural Gas Fired CT,2000,2000.0,780.98,780980.0,166766448.0,213.5348510845348,NC,35.375789,-78.09805
west gardner,7929.0,Natural Gas Fired CT,2003,2003.0,408.0,408000.0,118813492.0,291.2095392156863,KS,38.7875,-94.9861
wy gen iii,56596.0,Coal,2010,2010.0,25.0,25000.0,63215119.0,2528.60476,WY,44.2919,-105.3806
wygen 2,56319.0,Coal,2012,2008.0,95.0,95000.0,184554669.0,1942.6807263157896,WY,44.2919,-105.3811
zeeland,55087.0,Natural Gas Fired CT,2007,2002.0,935.0,935000.0,349473691.0,373.7686534759358,MI,42.8206,-85.9975
